//Для удобства обслуживания список отсортирован в алфавитном порядке.
دخول; الدخول إلى
إعطاء هيموجين; إعطاء الهيموجين
استخراج جينات من; استخراج الجينات من
تحميل العناصر في; تحميل العناصر في
تحميل الموارد في; تحميل الموارد في
تزويد بالوقود; تزويد بالوقود
تفريغ; تفريغ
نقل هيموجين لـ; نقل الهيموجين لـ
نقل إلى الأم للإرضاع; نقل إلى الأم للإرضاع
نقل لمسح الدماغ; نقل لمسح الدماغ
نقل; نقل
لعب مع; اللعب مع
إطعام; إطعام
إرضاع طبيعي; الإرضاع الطبيعي
وضع في البنك; وضع في البنك
إصلاح; إصلاح
إعطاء درس; إعطاء درس
إنشاء بذرة زينو باستخدام; إنشاء بذرة زينو باستخدام
إنقاذ; إنقاذ
تسريع النمو; تسريع النمو
إزالة التلوث; إزالة التلوث
